to_country_id,place_final
Albania,
Andorra,
Armenia,
Australia,
Austria,
Azerbaijan,
Belarus,
Belgium,
Bosnia & Herzegovina,
Bulgaria,
Croatia,
Cyprus,
Czech Republic,
Denmark,
Estonia,
Finland,
Georgia,
Greece,
Hungary,
Iceland,
Ireland,
Israel,
Latvia,
Lithuania,
Malta,
Moldova,
Monaco,
Montenegro,
Netherlands,
North Macedonia,
Norway,
Poland,
Portugal,
Romania,
Russia,
San Marino,
Serbia,
Slovakia,
Slovenia,
Sweden,
Switzerland,
Turkey,
Ukraine,
al,15.090909090909092
am,11.166666666666666
at,12.333333333333334
au,9.857142857142858
az,10.153846153846153
ba,13.166666666666666
be,11.381818181818181
bg,7.2
by,17.166666666666668
ch,10.326923076923077
cs,4.5
cy,13.4375
cz,14.8
de,11.477611940298507
dk,10.0
ee,10.88888888888889
es,12.548387096774194
fi,14.458333333333334
fr,10.0
gb,9.584615384615384
ge,12.428571428571429
gr,11.3
hr,12.368421052631579
hu,15.071428571428571
ie,8.866666666666667
il,10.342105263157896
is,13.925925925925926
it,7.1020408163265305
lt,16.125
lu,9.0
lv,11.6
ma,18.0
mc,7.380952380952381
md,12.076923076923077
me,16.0
mk,14.444444444444445
mt,11.76923076923077
nl,10.12962962962963
no,11.862068965517242
pl,15.4375
pt,14.088888888888889
ro,13.31578947368421
rs,12.166666666666666
ru,7.681818181818182
se,8.278688524590164
si,16.0625
sk,19.333333333333332
sm,21.666666666666668
tr,12.636363636363637
ua,8.277777777777779
yu,10.666666666666666
